Timestamp,"The survey should take about 5 minutes to complete, and all responses are anonymous.

Participation is voluntary, and you may stop or exit the survey at any time without any consequences.

By selecting ""I agree"" below, you confirm that you have read the information above and wish to continue with the survey.",I ask my group members to explain concepts that confuse me.,"If I do not understand, I will be quieter in group project meetings.","If I am struggling with my project contributions, I seek support from my group members.","When I am unsure about my work, I am reluctant to seek feedback from my group.","If a project is too hard for me, I participate less rather than ask my group for help.",I avoid asking my group members for help even when I find my task difficult.,I pretend to understand group project discussions even when I feel confused.,I hesitate to ask my teammates for clarification during group projects.,I tend to keep working on my own even when collaborating with my group would make the task easier.,What is your current student status?,Which field best describes your area of study?,"Self rate your skills in the language typically used for your group projects (e.g., German or English):"
2025/11/19 6:01:20 PM GMT+1,I agree,5,5,5,3,4,3,5,3,3,Graduate Student (Master or equivalent),Economics and Social Sciences,Good
2025/11/19 6:09:34 PM GMT+1,I agree,2,5,4,3,5,2,5,5,5,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/19 6:17:01 PM GMT+1,I agree,3,5,5,1,2,1,5,2,4,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/19 6:17:09 PM GMT+1,I agree,6,5,4,2,2,2,3,2,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Good
2025/11/19 6:21:13 PM GMT+1,I agree,5,2,4,1,5,3,5,4,3,Undergraduate Student (Bachelor or equivalent),Theology,Good
2025/11/19 6:23:17 PM GMT+1,I agree,5,5,2,1,2,1,3,1,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/19 7:13:02 PM GMT+1,I agree,4,4,5,1,3,2,1,2,3,Graduate Student (Master or equivalent),Science,Adequate
2025/11/19 7:27:49 PM GMT+1,I agree,6,2,4,1,2,3,3,1,4,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/19 8:59:44 PM GMT+1,I agree,6,2,6,2,2,2,2,2,2,Graduate Student (Master or equivalent),Science,Excellent
2025/11/19 9:41:44 PM GMT+1,I agree,3,5,6,1,1,2,5,6,1,Graduate Student (Master or equivalent),Science,Excellent
2025/11/20 10:22:00 AM GMT+1,I agree,5,2,3,3,2,5,2,1,6,Graduate Student (Master or equivalent),Economics and Social Sciences,Native Speaker
2025/11/20 11:43:58 AM GMT+1,I agree,5,2,4,4,2,3,2,2,4,Graduate Student (Master or equivalent),Science,Good
2025/11/20 12:21:31 PM GMT+1,I agree,3,4,5,3,2,3,2,2,4,Graduate Student (Master or equivalent),Data Science,Good
2025/11/20 1:11:30 PM GMT+1,I agree,5,1,4,4,1,1,1,2,1,Graduate Student (Master or equivalent),Economics and Social Sciences,Good
2025/11/20 1:13:25 PM GMT+1,I agree,4,5,4,3,1,2,2,2,3,Graduate Student (Master or equivalent),Economics and Social Sciences,Good
2025/11/20 1:25:43 PM GMT+1,I agree,5,3,5,2,2,3,2,1,6,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
